epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.163,1.20151,1.22919,0.38596,0.90874,1.21529,0.9659,1,0.99085,0.77789,0.94146,0.975,0.96148,0.29019,0.80897,2.02934,0.05612,1.09354,1.00823,0.00018,0.00018,0.00018
2,74.7186,0.95972,0.56467,0.38371,0.67454,1.06977,1,0.99719,0.995,0.81142,1,0.99719,0.995,0.74442,0.76557,0.74259,0.07702,0.78762,0.99928,0.00036746,0.00036746,0.00036746
3,109.429,0.902,0.6766,0.40922,0.61144,1.0275,0.99126,1,0.995,0.8296,0.99126,1,0.995,0.90781,0.77816,0.39396,0.08689,0.56697,0.98641,0.00054172,0.00054172,0.00054172
4,151.479,0.89128,0.65492,0.40781,0.58791,1.01189,0.99843,1,0.995,0.82109,0.99843,1,0.995,0.97643,0.75935,0.33114,0.0906,0.54308,0.98321,0.00070278,0.00070278,0.00070278
5,187.672,0.88286,0.60199,0.39335,0.63063,1.03557,0.89143,0.975,0.98823,0.77265,0.89143,0.975,0.98823,0.96193,0.80094,0.29713,0.10202,0.74011,1.00277,0.00085064,0.00085064,0.00085064
6,221.978,0.90065,0.66695,0.38888,0.62148,1.03842,0.99408,1,0.995,0.7855,0.99408,1,0.995,0.899,0.76748,0.32376,0.08766,0.708,0.97159,0.0009853,0.0009853,0.0009853
7,256.181,0.82088,0.44741,0.39655,0.58935,0.99635,0.99511,1,0.995,0.82261,0.99511,1,0.995,0.94682,0.7174,0.21136,0.09005,0.54165,0.9475,0.00110676,0.00110676,0.00110676
8,290.643,0.84207,0.48592,0.33502,0.58533,0.99317,0.9968,1,0.995,0.80673,0.9968,1,0.995,0.98372,0.76208,0.15973,0.09764,0.47764,0.97631,0.00121502,0.00121502,0.00121502
9,326.058,0.85235,0.4126,0.43887,0.57003,1.00426,0.99726,1,0.995,0.82862,0.99726,1,0.995,0.96536,0.70445,0.22196,0.09889,0.55632,0.94617,0.00131008,0.00131008,0.00131008
10,360.963,0.80938,0.51628,0.3852,0.58098,1.00042,0.99769,1,0.995,0.79925,0.99769,1,0.995,0.995,0.78282,0.17631,0.10766,0.50498,0.93595,0.00139194,0.00139194,0.00139194
11,395.736,0.80496,0.43228,0.375,0.55731,0.96695,0.9981,1,0.995,0.8433,0.9981,1,0.995,0.98936,0.72139,0.16667,0.10597,0.43988,0.93423,0.00134,0.00134,0.00134
12,431.695,0.78678,0.41165,0.36908,0.54473,0.95577,0.99822,1,0.995,0.84141,0.99822,1,0.995,0.995,0.73073,0.15113,0.11476,0.50597,0.9301,0.001274,0.001274,0.001274
13,467.773,0.77934,0.38787,0.4207,0.52053,0.95562,0.99846,1,0.995,0.82398,0.99846,1,0.995,0.98765,0.86682,0.20601,0.10783,0.48523,0.98983,0.001208,0.001208,0.001208
14,503.317,0.77025,0.32561,0.37014,0.51432,0.95732,0.99854,1,0.995,0.82514,0.99854,1,0.995,0.99143,0.76802,0.13104,0.11405,0.52528,0.96443,0.001142,0.001142,0.001142
15,540.252,0.76037,0.30865,0.36208,0.54927,0.9546,0.99856,1,0.995,0.85906,0.99856,1,0.995,0.995,0.71385,0.12364,0.10701,0.46778,0.92597,0.001076,0.001076,0.001076
16,581.946,0.6987,0.24134,0.37601,0.46359,0.93061,0.99852,1,0.995,0.81929,0.99852,1,0.995,0.995,0.76908,0.10754,0.11617,0.45044,0.92796,0.00101,0.00101,0.00101
17,637.224,0.76433,0.38903,0.39499,0.48506,0.96399,0.99801,1,0.995,0.85096,0.99801,1,0.995,0.98344,0.6883,0.1305,0.10647,0.41991,0.92191,0.000944,0.000944,0.000944
18,690.305,0.68083,0.26634,0.3675,0.47619,0.92825,0.9963,1,0.995,0.85708,0.9963,1,0.995,0.99377,0.6924,0.11756,0.11802,0.41071,0.90752,0.000878,0.000878,0.000878
19,746.536,0.70974,0.27651,0.38883,0.46681,0.92053,0.99737,1,0.995,0.85613,0.99737,1,0.995,0.995,0.65068,0.11032,0.11277,0.40995,0.90684,0.000812,0.000812,0.000812
20,802.203,0.66059,0.25507,0.35568,0.44793,0.9217,0.99825,1,0.995,0.85713,0.99825,1,0.995,0.995,0.67563,0.10152,0.11109,0.41823,0.91934,0.000746,0.000746,0.000746
21,857.538,0.66671,0.14694,0.11809,0.44499,0.90265,0.99795,1,0.995,0.8663,0.99795,1,0.995,0.995,0.66025,0.0833,0.10711,0.40855,0.90661,0.00068,0.00068,0.00068
22,920.309,0.64346,0.15706,0.11338,0.42908,0.92409,0.99773,1,0.995,0.82826,0.99773,1,0.995,0.995,0.74888,0.10368,0.09867,0.41142,0.91687,0.000614,0.000614,0.000614
