epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,451.601,0.70558,0.11315,0.01696,0.31748,0.95686,0.98906,0.99437,0.99227,0.88952,0.98942,0.99473,0.99188,0.98999,0.49575,0.04934,0.00059,1.7182,0.84458,0.0033322,0.0033322,0.0033322
2,894.362,0.60541,0.10828,0.01692,0.29921,0.9131,0.99131,0.99496,0.99227,0.89399,0.99131,0.99496,0.99192,0.99033,0.48046,0.04892,0.00143,1.25896,0.82595,0.00653355,0.00653355,0.00653355
3,1326.07,0.61536,0.11565,0.01925,0.31251,0.91181,0.98849,0.99501,0.99174,0.88656,0.98858,0.9951,0.99147,0.98973,0.48876,0.05534,0.00201,1.55147,0.82665,0.00960291,0.00960291,0.00960291
4,1754.36,0.62718,0.12711,0.02165,0.32734,0.91194,0.98871,0.99434,0.99265,0.89564,0.9888,0.99443,0.99256,0.99116,0.48251,0.05127,0.00101,1.35484,0.82906,0.009406,0.009406,0.009406
