epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.81458,3.445,9.12627,0.71005,6.13257,2.59007,0,0,0,0,0,0,0,0,2.88817,8.77533,0.66771,5.61157,2.55106,0,0,0
2,12.7703,3.33119,9.26098,0.67568,6.61875,2.50715,0,0,0,0,0,0,0,0,2.66201,8.77622,0.66742,5.42306,2.51003,1.9604e-05,1.9604e-05,1.9604e-05
3,16.5439,2.64905,9.36767,0.68198,6.08773,2.37469,0.0099,0.5,0.01002,0.00501,0,0,0,0,2.816,8.77564,0.66692,4.82498,2.49142,3.8416e-05,3.8416e-05,3.8416e-05
4,20.9226,2.3034,9.44207,0.69343,4.65411,1.97295,0.01136,1,0.01983,0.00865,0,0,0,0,2.54086,8.63743,0.67306,4.18727,2.15424,5.6436e-05,5.6436e-05,5.6436e-05
5,24.7364,1.67283,8.67675,0.69885,3.05435,1.38192,0.00621,1,0.07033,0.0211,0,0,0,0,2.80465,8.24397,0.6827,2.93052,1.82922,7.3664e-05,7.3664e-05,7.3664e-05
6,28.1751,2.33267,9.65503,0.67797,3.19069,1.88953,0.16423,1,0.33167,0.1145,0,0,0,0,2.4051,8.24985,0.68318,2.931,1.6945,9.01e-05,9.01e-05,9.01e-05
7,31.4903,1.73839,8.84829,0.71614,2.00542,1.53772,0.59208,1,0.66333,0.20063,0,0,0,0,2.60096,8.15004,0.6857,3.53716,1.75551,0.000105744,0.000105744,0.000105744
8,34.6725,1.56978,8.79182,0.70072,1.82403,1.60681,1,0.93275,0.995,0.30561,0,0,0,0,2.65912,8.21824,0.68305,5.6382,1.97681,0.000120596,0.000120596,0.000120596
9,37.6319,1.79008,9.10579,0.70191,1.58284,1.55832,0.8243,1,0.995,0.2985,0,0,0,0,2.78266,8.18295,0.68185,8.33001,2.30465,0.000134656,0.000134656,0.000134656
10,40.4975,1.43309,7.93237,0.69198,1.2254,1.24216,0.56093,1,0.995,0.30267,0,0,0,0,2.80255,8.31529,0.67569,11.4856,2.62924,0.000147924,0.000147924,0.000147924
11,43.4041,1.1427,7.36543,0.69424,1.04768,1.09183,0.47683,1,0.995,0.30009,0,0,0,0,2.81611,8.28645,0.67267,13.4669,2.66272,0.0001604,0.0001604,0.0001604
12,46.1833,1.18149,6.92558,0.74627,1.18226,1.02949,0.36987,1,0.995,0.19155,0,0,0,0,2.97216,8.20364,0.67162,16.3808,2.72329,0.000172084,0.000172084,0.000172084
13,49.0095,1.50159,7.15767,0.75701,1.07125,1.29957,0.37088,1,0.995,0.28142,0,0,0,0,3.04503,8.01651,0.67351,16.7426,2.68839,0.000182976,0.000182976,0.000182976
14,51.8134,1.439,6.80432,0.74394,1.21994,1.25165,0.47869,1,0.995,0.26517,0,0,0,0,3.1141,7.68734,0.67368,16.4786,2.53996,0.000193076,0.000193076,0.000193076
15,54.7505,1.27957,6.8426,0.72424,1.23317,1.13089,0.5743,1,0.995,0.28171,0,0,0,0,2.88928,7.72609,0.67479,12.7826,2.16352,0.000202384,0.000202384,0.000202384
16,57.5367,1.42869,6.47071,0.71307,1.25889,1.01881,0.94309,1,0.995,0.27338,0,0,0,0,2.69126,7.81521,0.67503,7.14854,1.93403,0.0002109,0.0002109,0.0002109
17,60.3904,1.11153,6.32057,0.7161,0.95761,1.01537,0.90133,1,0.995,0.34763,0,0,0,0,2.45079,7.79726,0.67437,4.31191,1.53181,0.000218624,0.000218624,0.000218624
18,63.0816,1.18398,5.75238,0.73583,0.90982,1.0533,0.90133,1,0.995,0.34763,0,0,0,0,2.45079,7.79726,0.67437,4.31191,1.53181,0.000225556,0.000225556,0.000225556
