epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,82.6357,1.48106,0.25105,0.36423,0.70974,1.03765,1,1,0.995,0.55975,1,1,0.995,0.995,1.73604,0.23293,0.09747,0.6069,1.31772,0.000246964,0.000246964,0.000246964
31,85.0135,1.24003,0.29045,0.20784,0.61957,1.04827,1,1,0.995,0.55975,1,1,0.995,0.933,1.78983,0.26946,0.09575,0.6176,1.32796,0.0002436,0.0002436,0.0002436
32,87.3858,0.95762,0.37933,0.19346,0.55885,0.94112,1,1,0.995,0.55975,1,1,0.995,0.933,1.78983,0.26946,0.09575,0.6176,1.32796,0.000239444,0.000239444,0.000239444
33,90.2369,1.33047,0.2656,0.32556,0.70916,1.02628,1,1,0.995,0.4975,1,1,0.995,0.933,1.87931,0.33619,0.09174,0.56501,1.33793,0.000234496,0.000234496,0.000234496
34,92.5991,1.28547,0.66125,0.35294,0.64262,1.12422,1,1,0.995,0.4975,1,1,0.995,0.933,1.87931,0.33619,0.09174,0.56501,1.33793,0.000228756,0.000228756,0.000228756
35,95.123,1.25664,0.27961,0.11937,0.66603,1.01629,1,1,0.995,0.4975,1,1,0.995,0.933,1.86937,0.33897,0.09104,0.62134,1.33372,0.000222224,0.000222224,0.000222224
36,97.5176,1.58211,0.33354,0.16767,0.69642,1.10555,1,1,0.995,0.4975,1,1,0.995,0.933,1.86937,0.33897,0.09104,0.62134,1.33372,0.0002149,0.0002149,0.0002149
37,100.068,1.11862,0.24297,0.08724,0.63533,1.06153,1,1,0.995,0.4975,1,1,0.995,0.933,1.86649,0.31181,0.09185,0.65247,1.3357,0.000206784,0.000206784,0.000206784
38,102.351,1.17178,0.32005,0.14125,0.63369,0.93677,1,1,0.995,0.4975,1,1,0.995,0.933,1.86649,0.31181,0.09185,0.65247,1.3357,0.000197876,0.000197876,0.000197876
39,104.746,1.34993,0.25087,0.20924,0.63592,1.19502,1,1,0.995,0.4975,1,1,0.995,0.995,1.83082,0.25441,0.09417,0.65958,1.32839,0.000188176,0.000188176,0.000188176
40,107.844,1.33348,0.56522,0.22269,0.78403,0.85265,1,1,0.995,0.4975,1,1,0.995,0.995,1.83082,0.25441,0.09417,0.65958,1.32839,0.000177684,0.000177684,0.000177684
41,110.679,1.08762,0.20866,0.11631,0.59536,1.04638,1,1,0.995,0.4975,1,1,0.995,0.995,1.80704,0.20864,0.09077,0.665,1.34668,0.0001664,0.0001664,0.0001664
42,113.439,1.28796,0.3582,0.1651,0.65895,1.04372,1,1,0.995,0.4975,1,1,0.995,0.995,1.80704,0.20864,0.09077,0.665,1.34668,0.000154324,0.000154324,0.000154324
43,118.3,1.31542,0.17752,0.11252,0.59224,1.11894,1,1,0.995,0.4975,1,1,0.995,0.995,1.80327,0.1777,0.09313,0.66305,1.35258,0.000141456,0.000141456,0.000141456
44,120.96,0.99893,0.23882,0.16754,0.60301,0.98998,1,1,0.995,0.4975,1,1,0.995,0.995,1.80327,0.1777,0.09313,0.66305,1.35258,0.000127796,0.000127796,0.000127796
45,123.312,1.15959,0.22468,0.12841,0.57614,1.13333,1,1,0.995,0.4975,1,1,0.995,0.995,1.80555,0.16195,0.09449,0.65688,1.35206,0.000113344,0.000113344,0.000113344
46,125.458,1.14767,0.21165,0.13789,0.65662,1.08222,1,1,0.995,0.4975,1,1,0.995,0.995,1.80555,0.16195,0.09449,0.65688,1.35206,9.81E-05,9.81E-05,9.81E-05
