epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.2691,0.63855,0.19648,0.2222,0.38179,0.90596,0.99847,1,0.995,0.84747,0.99847,1,0.995,0.995,0.66645,0.07535,0.0373,0.34953,0.88526,0.00028,0.00028,0.00028
2,203.319,0.6902,0.20027,0.2117,0.39521,0.9172,0.99918,1,0.995,0.83437,0.99918,1,0.995,0.995,0.68783,0.08152,0.04313,0.34868,0.89436,0.00056086,0.00056086,0.00056086
3,333.4,0.64695,0.19247,0.17606,0.38785,0.91053,0.99922,1,0.995,0.84812,0.99922,1,0.995,0.995,0.69562,0.10078,0.05245,0.36348,0.88704,0.00082192,0.00082192,0.00082192
4,455.344,0.70579,0.29854,0.2069,0.43415,0.92804,0.99783,1,0.995,0.79947,0.99783,1,0.995,0.98874,0.766,0.15654,0.04839,0.40638,0.89912,0.00106318,0.00106318,0.00106318
5,578.052,0.75476,0.29368,0.19188,0.45762,0.93658,0.99919,1,0.995,0.8062,0.99919,1,0.995,0.99465,0.76828,0.11551,0.05648,0.39032,0.93457,0.00128464,0.00128464,0.00128464
6,697.77,0.792,0.32046,0.20541,0.46043,0.95138,0.99866,1,0.995,0.81744,0.99866,1,0.995,0.98197,0.74188,0.19207,0.07164,0.38437,0.90778,0.0014863,0.0014863,0.0014863
7,849.698,0.7613,0.34757,0.19768,0.45919,0.9437,0.99922,1,0.995,0.78857,0.99922,1,0.995,0.99255,0.80956,0.12809,0.05852,0.37959,0.91856,0.001604,0.001604,0.001604
8,994.69,0.71484,0.30767,0.18197,0.42476,0.93046,0.9991,1,0.995,0.81242,0.9991,1,0.995,0.99439,0.75208,0.12187,0.04845,0.3938,0.90022,0.001538,0.001538,0.001538
9,1114.66,0.7675,0.34492,0.18761,0.46532,0.93827,0.99899,1,0.995,0.84277,0.99899,1,0.995,0.99112,0.72413,0.12282,0.05035,0.37548,0.8964,0.001472,0.001472,0.001472
10,1233.8,0.7671,0.26707,0.17088,0.43441,0.93872,0.98785,1,0.995,0.82671,0.98785,1,0.995,0.9931,0.72837,0.10497,0.0521,0.40967,0.90563,0.001406,0.001406,0.001406
