epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.7348,0.52841,0.14749,0.09296,0.34172,0.86672,0.99779,1,0.995,0.87919,0.99779,1,0.995,0.995,0.5978,0.07048,0.01521,0.31512,0.84734,0.00028,0.00028,0.00028
2,148.395,0.57645,0.16745,0.08722,0.35528,0.87208,0.99697,1,0.995,0.86405,0.99697,1,0.995,0.99384,0.58765,0.07585,0.01443,0.29791,0.84933,0.00056086,0.00056086,0.00056086
3,219.56,0.52428,0.16788,0.08211,0.33972,0.86797,0.98849,1,0.995,0.84829,0.98849,1,0.995,0.995,0.65986,0.07732,0.01744,0.33648,0.8694,0.00082192,0.00082192,0.00082192
4,290.213,0.5503,0.20249,0.09452,0.37227,0.87788,0.99812,1,0.995,0.83187,0.99812,1,0.995,0.995,0.62623,0.08141,0.01677,0.34768,0.86191,0.00106318,0.00106318,0.00106318
5,360.368,0.64755,0.25824,0.0871,0.40464,0.90404,0.99913,1,0.995,0.80747,0.99913,1,0.995,0.995,0.75036,0.09661,0.02433,0.37602,0.89116,0.00128464,0.00128464,0.00128464
6,432.635,0.73661,0.27923,0.10127,0.42255,0.9339,0.99912,1,0.995,0.81125,0.99912,1,0.995,0.99141,0.81519,0.12082,0.01911,0.38377,0.91048,0.0014863,0.0014863,0.0014863
7,503.403,0.77004,0.28876,0.10229,0.44887,0.94516,0.99914,1,0.995,0.80548,0.99914,1,0.995,0.98999,0.77419,0.10716,0.01959,0.39882,0.92699,0.001604,0.001604,0.001604
8,573.852,0.66831,0.26096,0.09377,0.41025,0.91603,0.99931,1,0.995,0.84522,0.99931,1,0.995,0.995,0.65666,0.12192,0.01948,0.34207,0.8694,0.001538,0.001538,0.001538
9,644.642,0.68218,0.25512,0.09912,0.40761,0.91495,0.99903,1,0.995,0.86199,0.99903,1,0.995,0.99256,0.65572,0.1047,0.02168,0.34033,0.8834,0.001472,0.001472,0.001472
10,715.559,0.69591,0.2237,0.0882,0.40997,0.91485,0.99598,1,0.995,0.83405,0.99598,1,0.995,0.98974,0.71266,0.11406,0.01818,0.37111,0.88932,0.001406,0.001406,0.001406
11,787.133,0.66324,0.22775,0.09254,0.40119,0.90393,0.99419,1,0.995,0.84629,0.99419,1,0.995,0.99438,0.66004,0.10332,0.02081,0.37205,0.87325,0.00134,0.00134,0.00134
12,870.697,0.66715,0.2188,0.0711,0.40154,0.91172,0.99662,1,0.995,0.83121,0.99662,1,0.995,0.99415,0.72485,0.09638,0.01848,0.377,0.91929,0.001274,0.001274,0.001274
13,956.051,0.66533,0.21302,0.08192,0.39346,0.91324,0.99764,1,0.995,0.86727,0.99764,1,0.995,0.99372,0.63335,0.09221,0.01605,0.32999,0.86394,0.001208,0.001208,0.001208
14,1040.82,0.65058,0.203,0.08918,0.38336,0.91406,0.99831,1,0.995,0.85089,0.99831,1,0.995,0.995,0.65872,0.07103,0.01532,0.34784,0.88184,0.001142,0.001142,0.001142
15,1125.77,0.62587,0.18746,0.07496,0.3787,0.88791,0.99733,1,0.995,0.85289,0.99733,1,0.995,0.995,0.66393,0.07789,0.01615,0.34245,0.87194,0.001076,0.001076,0.001076
16,1211.17,0.60855,0.1732,0.06965,0.36345,0.8913,0.99475,1,0.995,0.8718,0.99475,1,0.995,0.995,0.58179,0.08528,0.01802,0.3089,0.85846,0.00101,0.00101,0.00101
17,1295.42,0.60183,0.16494,0.06803,0.36676,0.89036,0.99475,1,0.995,0.86819,0.99475,1,0.995,0.995,0.57404,0.06237,0.01713,0.30102,0.84934,0.000944,0.000944,0.000944
18,1380.59,0.60102,0.18809,0.07749,0.36617,0.89994,0.99809,1,0.995,0.85338,0.99809,1,0.995,0.99468,0.59687,0.07961,0.01575,0.30647,0.86626,0.000878,0.000878,0.000878
19,1465.53,0.64354,0.17188,0.07243,0.37006,0.90054,0.99751,1,0.995,0.84902,0.99751,1,0.995,0.995,0.65583,0.07528,0.01479,0.32603,0.85696,0.000812,0.000812,0.000812
20,1551.36,0.63114,0.1705,0.10685,0.37094,0.92178,0.99112,1,0.995,0.86829,0.99112,1,0.995,0.995,0.60358,0.08602,0.01495,0.31654,0.85324,0.000746,0.000746,0.000746
21,1637.37,0.55601,0.10581,0.02129,0.32785,0.86313,0.99653,1,0.995,0.87449,0.99653,1,0.995,0.995,0.57366,0.06301,0.01441,0.29826,0.8463,0.00068,0.00068,0.00068
22,1722.2,0.53054,0.09499,0.01623,0.31664,0.87347,0.99929,1,0.995,0.88402,0.99929,1,0.995,0.995,0.55979,0.06353,0.01224,0.30096,0.84336,0.000614,0.000614,0.000614
23,1805.97,0.5287,0.08521,0.01459,0.31641,0.87337,0.99933,1,0.995,0.87403,0.99933,1,0.995,0.995,0.55485,0.06839,0.0103,0.30755,0.84482,0.000548,0.000548,0.000548
24,1890.09,0.55257,0.08779,0.01096,0.31475,0.86706,0.9993,1,0.995,0.87926,0.9993,1,0.995,0.995,0.55162,0.07771,0.00882,0.29581,0.84165,0.000482,0.000482,0.000482
25,1974.14,0.52364,0.08197,0.00902,0.31678,0.86238,0.9993,1,0.995,0.88063,0.9993,1,0.995,0.995,0.55042,0.06077,0.00885,0.29338,0.83996,0.000416,0.000416,0.000416
26,2058.45,0.51574,0.07358,0.00978,0.30337,0.83978,0.9993,1,0.995,0.88604,0.9993,1,0.995,0.995,0.53136,0.05986,0.00826,0.28182,0.83472,0.00035,0.00035,0.00035
27,2154.07,0.51248,0.08578,0.0091,0.30084,0.86011,0.99932,1,0.995,0.89029,0.99932,1,0.995,0.995,0.5326,0.0536,0.00789,0.27756,0.83392,0.000284,0.000284,0.000284
28,2240.4,0.50413,0.07296,0.00859,0.2926,0.85835,0.99933,1,0.995,0.89274,0.99933,1,0.995,0.995,0.54069,0.05413,0.00795,0.28336,0.83363,0.000218,0.000218,0.000218
29,2324.97,0.52957,0.07556,0.00923,0.297,0.86802,0.99933,1,0.995,0.88128,0.99933,1,0.995,0.995,0.55587,0.05335,0.00741,0.27884,0.83475,0.000152,0.000152,0.000152
30,2410.08,0.52302,0.07779,0.00854,0.29387,0.85132,0.99932,1,0.995,0.89416,0.99932,1,0.995,0.995,0.5145,0.05238,0.00711,0.26144,0.82914,8.6e-05,8.6e-05,8.6e-05
