epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.9907,0.58164,0.19517,0.13641,0.36502,0.88461,0.99289,1,0.995,0.88282,0.99289,1,0.995,0.99427,0.60204,0.11962,0.02366,0.32695,0.85174,0.00028,0.00028,0.00028
2,135.701,0.62898,0.20002,0.12906,0.3748,0.889,0.98877,1,0.995,0.86074,0.98877,1,0.995,0.995,0.64003,0.07105,0.02203,0.34935,0.86715,0.00056086,0.00056086,0.00056086
3,197.555,0.58542,0.19152,0.11116,0.36101,0.88477,0.99868,1,0.995,0.85012,0.99868,1,0.995,0.995,0.65263,0.07423,0.02793,0.35,0.86765,0.00082192,0.00082192,0.00082192
4,264.294,0.63201,0.21543,0.12348,0.39945,0.90061,0.99929,1,0.995,0.83635,0.99929,1,0.995,0.995,0.69487,0.0913,0.0269,0.39395,0.89277,0.00106318,0.00106318,0.00106318
5,339.941,0.6807,0.26456,0.12107,0.42569,0.92341,0.99931,1,0.995,0.84459,0.99931,1,0.995,0.99408,0.70511,0.10584,0.03198,0.38141,0.89198,0.00128464,0.00128464,0.00128464
6,403.295,0.74697,0.27132,0.12109,0.42744,0.93511,0.99917,1,0.995,0.81493,0.99917,1,0.995,0.9945,0.74796,0.12478,0.03106,0.38094,0.8921,0.0014863,0.0014863,0.0014863
7,470.043,0.75724,0.30435,0.12293,0.45785,0.95017,0.99888,1,0.995,0.83274,0.99888,1,0.995,0.9907,0.70727,0.16611,0.03499,0.38975,0.89409,0.001604,0.001604,0.001604
8,537.682,0.70968,0.30912,0.12196,0.42452,0.93113,0.99876,1,0.995,0.82156,0.99876,1,0.995,0.9937,0.72638,0.15361,0.02935,0.35481,0.89037,0.001538,0.001538,0.001538
9,610.405,0.78866,0.26156,0.13137,0.45446,0.95285,0.99873,1,0.995,0.79476,0.99873,1,0.995,0.995,0.76676,0.10581,0.03755,0.3854,0.92401,0.001472,0.001472,0.001472
10,683.256,0.77356,0.26135,0.11963,0.44639,0.94061,0.9992,1,0.995,0.80533,0.9992,1,0.995,0.98802,0.78257,0.16809,0.02344,0.38336,0.89693,0.001406,0.001406,0.001406
